Variable Name,Variable Description
WTLM8R33,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 33 for participants in Los Angeles, California."
WTLM8R34,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 34 for participants in Los Angeles, California."
WTLM8R35,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 35 for participants in Los Angeles, California."
WTLM8R36,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 36 for participants in Los Angeles, California."
WTLM8R37,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 37 for participants in Los Angeles, California."
WTLM8R38,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 38 for participants in Los Angeles, California."
WTLM8R39,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 39 for participants in Los Angeles, California."
WTLM8R40,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 40 for participants in Los Angeles, California."
WTLM8R41,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 41 for participants in Los Angeles, California."
WTLM8R42,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 42 for participants in Los Angeles, California."
WTLM8R43,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 43 for participants in Los Angeles, California."
WTLM8R44,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 44 for participants in Los Angeles, California."
WTLM8R45,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 45 for participants in Los Angeles, California."
WTLM8R46,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 46 for participants in Los Angeles, California."
WTLM8R47,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 47 for participants in Los Angeles, California."
WTLM8R48,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 48 for participants in Los Angeles, California."
WTLAF8YR,"Subsample 8-year fasting weight for participants aged 12 years and older who were examined in the morning sessions in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R01,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R02,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R03,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R04,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R05,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R06,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R07,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R08,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R09,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R10,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R11,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R12,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R13,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R14,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R15,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R16,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R17,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R18,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R19,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R20,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R21,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R22,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R23,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R24,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R25,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R26,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R27,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R28,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R29,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R30,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R31,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 31 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R32,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 32 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R33,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 33 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R34,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 34 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R35,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 35 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R36,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 36 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R37,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 37 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
